building,date,kBtu
Pocomoke Building,2016-11-01T04:00:00.000Z,318926.7885776941
Pocomoke Building,2016-12-01T05:00:00.000Z,384643.00267745444
Pocomoke Building,2017-01-01T05:00:00.000Z,379833.3131923971
Pocomoke Building,2017-02-01T05:00:00.000Z,317300.14343886456
Pocomoke Building,2017-03-01T05:00:00.000Z,341221.7926348722
Pocomoke Building,2017-04-01T04:00:00.000Z,298586.9427536213
Pocomoke Building,2017-05-01T04:00:00.000Z,282819.66794238257
Pocomoke Building,2017-06-01T04:00:00.000Z,269592.51533743064
Pocomoke Building,2017-07-01T04:00:00.000Z,278590.8580149188
Pocomoke Building,2017-08-01T04:00:00.000Z,271287.12283400673
Pocomoke Building,2017-09-01T04:00:00.000Z,255147.63015673312
Pocomoke Building,2017-10-01T04:00:00.000Z,280381.61339377274
Pocomoke Building,2017-11-01T04:00:00.000Z,305598.7602325445
Pocomoke Building,2017-12-01T05:00:00.000Z,367956.4481775875
Pocomoke Building,2018-01-01T05:00:00.000Z,383266.6981437244
Pocomoke Building,2018-02-01T05:00:00.000Z,314830.291217008
Pocomoke Building,2018-03-01T05:00:00.000Z,319235.48829151667
Pocomoke Building,2018-04-01T04:00:00.000Z,264039.3005881677
Pocomoke Building,2018-05-01T04:00:00.000Z,273545.33035465097
Pocomoke Building,2018-06-01T04:00:00.000Z,272250.8118051688
Pocomoke Building,2018-07-01T04:00:00.000Z,284696.1917463693
Pocomoke Building,2018-08-01T04:00:00.000Z,288723.5353466913
Pocomoke Building,2018-09-01T04:00:00.000Z,281066.44898218015
Pocomoke Building,2018-10-01T04:00:00.000Z,285487.329105671
Pocomoke Building,2018-11-01T04:00:00.000Z,303043.9597332768
Pocomoke Building,2018-12-01T05:00:00.000Z,320704.76499325765
Pocomoke Building,2019-01-01T05:00:00.000Z,343181.82852982654
Pocomoke Building,2019-02-01T05:00:00.000Z,307694.96379698446
Pocomoke Building,2019-03-01T05:00:00.000Z,298021.3337354965
Pocomoke Building,2019-04-01T04:00:00.000Z,266515.8499962606
Pocomoke Building,2019-05-01T04:00:00.000Z,267112.1770674863
Pocomoke Building,2019-06-01T04:00:00.000Z,256338.83418962685
Pocomoke Building,2019-07-01T04:00:00.000Z,272498.21251275484
Pocomoke Building,2019-08-01T04:00:00.000Z,100168.01482624322
Pocomoke Building,2019-09-01T04:00:00.000Z,106.546874220671
Annapolis Hall,2014-10-01T04:00:00.000Z,112371.86932295086
Annapolis Hall,2014-11-01T04:00:00.000Z,84960.03370501258
Annapolis Hall,2014-12-01T05:00:00.000Z,71832.18728295669
Annapolis Hall,2015-01-01T05:00:00.000Z,83269.35105145694
Annapolis Hall,2015-02-01T05:00:00.000Z,69140.80721113035
Annapolis Hall,2015-03-01T05:00:00.000Z,80759.8027277054
Annapolis Hall,2015-04-01T04:00:00.000Z,92424.25731021716
Annapolis Hall,2015-05-01T04:00:00.000Z,95971.64258908677
Annapolis Hall,2015-06-01T04:00:00.000Z,101565.64406805621
Annapolis Hall,2015-07-01T04:00:00.000Z,88077.14792394817
Annapolis Hall,2015-08-01T04:00:00.000Z,86841.5346654159
Annapolis Hall,2015-09-01T04:00:00.000Z,91404.87025850765
Annapolis Hall,2015-10-01T04:00:00.000Z,92278.66805101605
Annapolis Hall,2015-11-01T04:00:00.000Z,72646.84292214255
Annapolis Hall,2015-12-01T05:00:00.000Z,72612.44853448092
Annapolis Hall,2016-01-01T05:00:00.000Z,82622.68938920597
Annapolis Hall,2016-02-01T05:00:00.000Z,82404.03935335694
Annapolis Hall,2016-03-01T05:00:00.000Z,77428.68644960162
Annapolis Hall,2016-04-01T04:00:00.000Z,80207.71202696314
Annapolis Hall,2016-05-01T04:00:00.000Z,88114.49040198087
Annapolis Hall,2016-06-01T04:00:00.000Z,76584.50896100616
Annapolis Hall,2016-07-01T04:00:00.000Z,87890.43553378493
Annapolis Hall,2016-08-01T04:00:00.000Z,90221.88366884956
Annapolis Hall,2016-09-01T04:00:00.000Z,90147.19871278421
Annapolis Hall,2016-10-01T04:00:00.000Z,83770.4792403147
Annapolis Hall,2016-11-01T04:00:00.000Z,75811.39955834486
Annapolis Hall,2016-12-01T05:00:00.000Z,86431.89478965921
Annapolis Hall,2017-01-01T05:00:00.000Z,86883.21220518653
Annapolis Hall,2017-02-01T05:00:00.000Z,71991.43600864154
Annapolis Hall,2017-03-01T05:00:00.000Z,74.38468759776664
Annapolis Hall,2017-04-01T04:00:00.000Z,14990.22062151548
Annapolis Hall,2017-05-01T04:00:00.000Z,105261.45165141005
Annapolis Hall,2017-06-01T04:00:00.000Z,77325.9536893122
Annapolis Hall,2017-07-01T04:00:00.000Z,95806.1127741818
Annapolis Hall,2017-08-01T04:00:00.000Z,521279.7015719532
Annapolis Hall,2017-09-01T04:00:00.000Z,0
Annapolis Hall,2017-10-01T04:00:00.000Z,93902.137742912
Annapolis Hall,2017-11-01T04:00:00.000Z,90735.67030739521
Annapolis Hall,2017-12-01T05:00:00.000Z,0
Annapolis Hall,2018-01-01T05:00:00.000Z,0
Annapolis Hall,2018-02-01T05:00:00.000Z,0
Annapolis Hall,2018-03-01T05:00:00.000Z,20917.33857029071
Annapolis Hall,2018-04-01T04:00:00.000Z,74549.5957242794
Annapolis Hall,2018-05-01T04:00:00.000Z,508.08921505379686
Annapolis Hall,2018-06-01T04:00:00.000Z,178989.32746498825
Annapolis Hall,2018-07-01T04:00:00.000Z,384425.13840062014
Annapolis Hall,2018-08-01T04:00:00.000Z,80981.72292294752
Annapolis Hall,2018-09-01T04:00:00.000Z,86850.86175456985
Annapolis Hall,2018-10-01T04:00:00.000Z,88165.02333901422
Annapolis Hall,2018-11-01T04:00:00.000Z,81977.90317523108
Annapolis Hall,2018-12-01T05:00:00.000Z,75868.40399098337
Annapolis Hall,2019-01-01T05:00:00.000Z,79166.32494745379
Annapolis Hall,2019-02-01T05:00:00.000Z,71124.01327723902
Annapolis Hall,2019-03-01T05:00:00.000Z,22809.100523013156
Annapolis Hall,2019-04-01T04:00:00.000Z,83140.66954981873
Annapolis Hall,2019-05-01T04:00:00.000Z,89707.01623444159
Annapolis Hall,2019-06-01T04:00:00.000Z,82034.60251356417
Annapolis Hall,2019-07-01T04:00:00.000Z,66155.66827680315
Annapolis Hall,2019-08-01T04:00:00.000Z,81199.80073714105
Annapolis Hall,2019-09-01T04:00:00.000Z,80280.44182587267
Annapolis Hall,2019-10-01T04:00:00.000Z,3757.834232303444
Memorial Chapel,2014-10-01T04:00:00.000Z,120523.2
Memorial Chapel,2014-11-01T04:00:00.000Z,192827.6
Memorial Chapel,2014-12-01T05:00:00.000Z,130614.4
Memorial Chapel,2015-06-01T04:00:00.000Z,214.2
Memorial Chapel,2015-07-01T04:00:00.000Z,40269.6
Memorial Chapel,2015-08-01T04:00:00.000Z,41578.6
Memorial Chapel,2015-09-01T04:00:00.000Z,36675.799999999996
Memorial Chapel,2015-10-01T04:00:00.000Z,143323.6
Memorial Chapel,2015-11-01T04:00:00.000Z,153319.6
Memorial Chapel,2015-12-01T05:00:00.000Z,179999.4
Memorial Chapel,2016-01-01T05:00:00.000Z,279602.39999999997
Memorial Chapel,2016-02-01T05:00:00.000Z,269868.2
Memorial Chapel,2016-03-01T05:00:00.000Z,185354.4
Memorial Chapel,2016-04-01T04:00:00.000Z,125568.79999999999
Memorial Chapel,2016-05-01T04:00:00.000Z,0
Memorial Chapel,2016-06-01T04:00:00.000Z,0
Memorial Chapel,2016-07-01T04:00:00.000Z,0
Memorial Chapel,2016-08-01T04:00:00.000Z,0
Memorial Chapel,2016-09-01T04:00:00.000Z,0
Memorial Chapel,2016-10-01T04:00:00.000Z,0
Memorial Chapel,2016-11-01T04:00:00.000Z,0
Memorial Chapel,2016-12-01T05:00:00.000Z,0
Memorial Chapel,2017-01-01T05:00:00.000Z,0
Memorial Chapel,2017-02-01T05:00:00.000Z,0
Memorial Chapel,2017-03-01T05:00:00.000Z,0
Memorial Chapel,2017-04-01T04:00:00.000Z,7657.119985180548
Memorial Chapel,2017-05-01T04:00:00.000Z,31148.667274991058
Memorial Chapel,2017-06-01T04:00:00.000Z,6816.079763793019
Memorial Chapel,2017-07-01T04:00:00.000Z,17523.123783378724
Memorial Chapel,2017-08-01T04:00:00.000Z,11042.15406832937
Memorial Chapel,2017-09-01T04:00:00.000Z,4919.147253488818
Memorial Chapel,2017-10-01T04:00:00.000Z,7110.702452762123
Memorial Chapel,2017-11-01T04:00:00.000Z,4659.112719708583
Memorial Chapel,2017-12-01T05:00:00.000Z,1020.303730400781
Memorial Chapel,2018-01-01T05:00:00.000Z,1743.029370438851
Memorial Chapel,2018-02-01T05:00:00.000Z,1846.7554633676928
Memorial Chapel,2018-03-01T05:00:00.000Z,1719.388746558153
Memorial Chapel,2018-04-01T04:00:00.000Z,1812.2447216763558
Memorial Chapel,2018-05-01T04:00:00.000Z,12.728887732853515
Memorial Chapel,2018-06-01T04:00:00.000Z,3482.013519785583
Memorial Chapel,2018-07-01T04:00:00.000Z,10419.284745333267
Memorial Chapel,2018-08-01T04:00:00.000Z,102.70273344300345
Memorial Chapel,2018-09-01T04:00:00.000Z,1475.2670734180138
Memorial Chapel,2018-10-01T04:00:00.000Z,9095.411015509735
Memorial Chapel,2018-11-01T04:00:00.000Z,20500.545699621478
Memorial Chapel,2018-12-01T05:00:00.000Z,14837.060752703363
Memorial Chapel,2019-01-01T05:00:00.000Z,10717.001406824324
Memorial Chapel,2019-02-01T05:00:00.000Z,16361.685358521001
Memorial Chapel,2019-03-01T05:00:00.000Z,33649.699192075146
Memorial Chapel,2019-04-01T04:00:00.000Z,79852.84365416382
Memorial Chapel,2019-05-01T04:00:00.000Z,107951.74774508807
Memorial Chapel,2019-06-01T04:00:00.000Z,172840.7830278145
Memorial Chapel,2019-07-01T04:00:00.000Z,214498.9617221204
Memorial Chapel,2019-08-01T04:00:00.000Z,183282.3321937671
Memorial Chapel,2019-09-01T04:00:00.000Z,163823.19870195715
Memorial Chapel,2019-10-01T04:00:00.000Z,7598.16990491403
Patuxent Building,2014-10-01T04:00:00.000Z,527395.3198267547
Patuxent Building,2014-11-01T04:00:00.000Z,525231.166471946
Patuxent Building,2014-12-01T05:00:00.000Z,560700.4964983421
Patuxent Building,2015-01-01T05:00:00.000Z,609790.6221446109
Patuxent Building,2015-02-01T05:00:00.000Z,529436.244055868
Patuxent Building,2015-03-01T05:00:00.000Z,506669.3360448489
Patuxent Building,2015-04-01T04:00:00.000Z,479279.01518902037
Patuxent Building,2015-05-01T04:00:00.000Z,517370.4651729312
Patuxent Building,2015-06-01T04:00:00.000Z,504371.78027434245
Patuxent Building,2015-07-01T04:00:00.000Z,561612.5123953752
Patuxent Building,2015-08-01T04:00:00.000Z,587786.8985299858
Patuxent Building,2015-09-01T04:00:00.000Z,541711.3789609858
Patuxent Building,2015-10-01T04:00:00.000Z,506710.09465561755
Patuxent Building,2015-11-01T04:00:00.000Z,414942.091160576
Patuxent Building,2015-12-01T05:00:00.000Z,483537.45132831216
