building,date,lbs_c02
Pocomoke Building,2017-05-01T04:00:00.000Z,43796.29411703239
Pocomoke Building,2017-06-01T04:00:00.000Z,41746.729130009764
Pocomoke Building,2017-07-01T04:00:00.000Z,43140.54988081273
Pocomoke Building,2017-08-01T04:00:00.000Z,42005.41867188695
Pocomoke Building,2017-09-01T04:00:00.000Z,39502.34262032087
Pocomoke Building,2017-10-01T04:00:00.000Z,43417.941261363616
Pocomoke Building,2017-11-01T04:00:00.000Z,47334.04527822579
Pocomoke Building,2017-12-01T05:00:00.000Z,57014.77700189757
Pocomoke Building,2018-01-01T05:00:00.000Z,59392.97250866981
Pocomoke Building,2018-02-01T05:00:00.000Z,48776.75948943268
Pocomoke Building,2018-03-01T05:00:00.000Z,49448.66934677419
Pocomoke Building,2018-04-01T04:00:00.000Z,40899.8908189655
Pocomoke Building,2018-05-01T04:00:00.000Z,42396.67977011498
Pocomoke Building,2018-06-01T04:00:00.000Z,42156.035577586204
Pocomoke Building,2018-07-01T04:00:00.000Z,44088.12487476826
Pocomoke Building,2018-08-01T04:00:00.000Z,44705.596971741536
Pocomoke Building,2018-09-01T04:00:00.000Z,43524.73763963386
Pocomoke Building,2018-10-01T04:00:00.000Z,44202.01016170581
Pocomoke Building,2018-11-01T04:00:00.000Z,46932.9996510264
Pocomoke Building,2018-12-01T05:00:00.000Z,49675.1194721408
Pocomoke Building,2019-01-01T05:00:00.000Z,53152.74674891291
Pocomoke Building,2019-02-01T05:00:00.000Z,47658.96947719686
Pocomoke Building,2019-03-01T05:00:00.000Z,46142.77413793105
Pocomoke Building,2019-04-01T04:00:00.000Z,41259.32812569522
Pocomoke Building,2019-05-01T04:00:00.000Z,41344.326989247325
Pocomoke Building,2019-06-01T04:00:00.000Z,39684.323725182876
Pocomoke Building,2019-07-01T04:00:00.000Z,42189.11010815047
Pocomoke Building,2019-08-01T04:00:00.000Z,15430.424822580646
Pocomoke Building,2019-09-01T04:00:00.000Z,16.549677419354843
Annapolis Hall,2014-10-01T04:00:00.000Z,17454.460320000002
Annapolis Hall,2014-11-01T04:00:00.000Z,13196.643840000006
Annapolis Hall,2014-12-01T05:00:00.000Z,11157.526080000001
Annapolis Hall,2015-01-01T05:00:00.000Z,12934.034047460294
Annapolis Hall,2015-02-01T05:00:00.000Z,10739.4802919147
Annapolis Hall,2015-03-01T05:00:00.000Z,12544.231760624996
Annapolis Hall,2015-04-01T04:00:00.000Z,14356.044279999995
Annapolis Hall,2015-05-01T04:00:00.000Z,14907.051360000003
Annapolis Hall,2015-06-01T04:00:00.000Z,15775.95456
Annapolis Hall,2015-07-01T04:00:00.000Z,13680.817919999996
Annapolis Hall,2015-08-01T04:00:00.000Z,13488.892994999993
Annapolis Hall,2015-09-01T04:00:00.000Z,14197.705267291667
Annapolis Hall,2015-10-01T04:00:00.000Z,14333.430239999994
Annapolis Hall,2015-11-01T04:00:00.000Z,11284.064639999995
Annapolis Hall,2015-12-01T05:00:00.000Z,11278.722240000001
Annapolis Hall,2016-01-01T05:00:00.000Z,12833.5896
Annapolis Hall,2016-02-01T05:00:00.000Z,12799.627199999999
Annapolis Hall,2016-03-01T05:00:00.000Z,12026.817240000006
Annapolis Hall,2016-04-01T04:00:00.000Z,12458.476800000002
Annapolis Hall,2016-05-01T04:00:00.000Z,13686.618240000005
Annapolis Hall,2016-06-01T04:00:00.000Z,11895.693120000009
Annapolis Hall,2016-07-01T04:00:00.000Z,13651.816319999993
Annapolis Hall,2016-08-01T04:00:00.000Z,14013.954720000003
Annapolis Hall,2016-09-01T04:00:00.000Z,14002.354079999997
Annapolis Hall,2016-10-01T04:00:00.000Z,13011.87312
Annapolis Hall,2016-11-01T04:00:00.000Z,11775.607840000002
Annapolis Hall,2016-12-01T05:00:00.000Z,13425.26458870966
Annapolis Hall,2017-01-01T05:00:00.000Z,13495.366670026891
Annapolis Hall,2017-02-01T05:00:00.000Z,11182.261813064015
Annapolis Hall,2017-03-01T05:00:00.000Z,11.55399999940768
Annapolis Hall,2017-04-01T04:00:00.000Z,2328.395999841653
Annapolis Hall,2017-05-01T04:00:00.000Z,16350.015730314888
Annapolis Hall,2017-06-01T04:00:00.000Z,12010.86
Annapolis Hall,2017-07-01T04:00:00.000Z,14881.34
Annapolis Hall,2017-08-01T04:00:00.000Z,80969.16
Annapolis Hall,2017-09-01T04:00:00.000Z,0
Annapolis Hall,2017-10-01T04:00:00.000Z,14585.6
Annapolis Hall,2017-11-01T04:00:00.000Z,14093.76
Annapolis Hall,2017-12-01T05:00:00.000Z,0
Annapolis Hall,2018-01-01T05:00:00.000Z,0
Annapolis Hall,2018-02-01T05:00:00.000Z,0
Annapolis Hall,2018-03-01T05:00:00.000Z,3249.041404
Annapolis Hall,2018-04-01T04:00:00.000Z,11579.614794000001
Annapolis Hall,2018-05-01T04:00:00.000Z,78.92031250000001
Annapolis Hall,2018-06-01T04:00:00.000Z,27801.994687500002
Annapolis Hall,2018-07-01T04:00:00.000Z,59711.85995794141
Annapolis Hall,2018-08-01T04:00:00.000Z,12578.70210685487
Annapolis Hall,2018-09-01T04:00:00.000Z,13490.341749999972
Annapolis Hall,2018-10-01T04:00:00.000Z,13694.467403225783
Annapolis Hall,2018-11-01T04:00:00.000Z,12733.436461545363
Annapolis Hall,2018-12-01T05:00:00.000Z,11784.462205541378
Annapolis Hall,2019-01-01T05:00:00.000Z,12296.72057429535
Annapolis Hall,2019-02-01T05:00:00.000Z,11047.527063725473
Annapolis Hall,2019-03-01T05:00:00.000Z,3542.884375
Annapolis Hall,2019-04-01T04:00:00.000Z,12914.046250000001
Annapolis Hall,2019-05-01T04:00:00.000Z,13933.981562500001
Annapolis Hall,2019-06-01T04:00:00.000Z,12742.243437500001
Annapolis Hall,2019-07-01T04:00:00.000Z,10275.805625
Annapolis Hall,2019-08-01T04:00:00.000Z,12612.575625000001
Annapolis Hall,2019-09-01T04:00:00.000Z,12469.77375
Annapolis Hall,2019-10-01T04:00:00.000Z,583.6956250000001
