name,area,built,renovated,longitude,latitude,image
Maryland Stadium Concessions 2,2662.75,1991,1970,-76.94764798,38.98941564,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_concessions_2_363.png
Maryland Stadium Concessions 3,2704.91,1991,1970,-76.9482105,38.98973145,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_concessions_3_364.png
Maryland Stadium Concessions 4,11192.77,1995,1970,-76.94860522,38.99041497,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_concessions_4_365.png
Maryland Stadium Ticket Booth,250.54,1995,1970,-76.94845676,38.99096952,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_ticket_booth_366.png
Maryland Stadium Concessions 5,9158.62,1995,1970,-76.94796496,38.99122005,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_concessions_5_367.png
Maryland Stadium Building (upper Deck),111596,1995,1970,-76.94673884,38.99089637,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_building_upper_deck_368.png
Maryland Stadium Maintenance Building,4253.93,1995,1970,-76.94588252,38.99024985,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_maintenance_building_369.png
Maryland Stadium Concessions 6,5283.01,1995,1970,-76.94607706,38.99044767,https://terpfootprints.umd.edu/images/buildings/maryland_stadium_concessions_6_370.png
Gossett Football Team House,63914.02,1992,2002,-76.94638821,38.98975555,https://terpfootprints.umd.edu/images/buildings/gossett_football_team_house_379.png
Center For Young Children,10644.99,1993,1970,-76.94851481,38.99350239,https://terpfootprints.umd.edu/images/buildings/center_for_young_children_381.png
Neutral Buoyancy Research Facility,14329.84,1992,1970,-76.93897156,38.99288566,https://terpfootprints.umd.edu/images/buildings/neutral_buoyancy_research_facility_382.png
Paint Branch Building,38279.51,1993,1970,-76.92918035,38.98195565,https://terpfootprints.umd.edu/images/buildings/paint_branch_building_383.png
Clarice Smith Performing Arts Center,342230.06,2000,1970,-76.950465,38.99063106,https://terpfootprints.umd.edu/images/buildings/clarice_smith_performing_arts_center_386.png
Technology Advancement Program Building,33118.63,1998,1970,-76.93861737,38.99249275,https://terpfootprints.umd.edu/images/buildings/technology_advancement_program_building_387.png
Kehoe Track At Ludwig Field,4365.06,1995,1970,-76.95129614,38.98756765,https://terpfootprints.umd.edu/images/buildings/kehoe_track_at_ludwig_field_388.png
Track & Soccer Field Ticket Booth,128.09,1995,1970,-76.94987751,38.98745836,https://terpfootprints.umd.edu/images/buildings/track_soccer_field_ticket_booth_389.png
